Date,Timepoint,Time,Calib.Date,Tank,Treatment,LifeStage,Temp_C,pH.MV,Salinity_ppt,Light_PAR,Conditions,Notes
20220618,6/18/22,13:05,20220618,Squarical1,High,Larval,NA,-73.5,36.92,380,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical2,High,Larval,NA,-73.4,36.89,420,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical3,High,Larval,NA,-73.4,36.88,369,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical4,High,Larval,NA,73.5,36.84,352,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical5,High,Larval,NA,-73.6,36.82,378,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical6,High,Larval,NA,-73.6,36.83,335,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical7,Ambient,Larval,NA,-74,36.87,395,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical8,Ambient,Larval,NA,-74.1,36.84,335,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical9,Ambient,Larval,NA,-71,36.88,315,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical10,Ambient,Larval,NA,-73.8,36.92,388,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical11,Ambient,Larval,NA,-73,36.94,360,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Squarical12,Ambient,Larval,NA,-74.1,36.91,399,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Ambient_Header,Ambient,Larval,NA,-74.2,36.88,NA,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Amb_Tank1,Ambient,Larval,NA,-76.1,36.97,540,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,Amb_Tank2,Ambient,Larval,NA,-76.3,36.95,245,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,High_Header,High,Larval,NA,-73.5,36.95,NA,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,High_Tank1,High,Larval,NA,-77.1,36.99,389,Slightly cloudy,No temperature probes available for measurements
20220618,6/18/22,13:05,20220618,High_Tank2,High,Larval,NA,-75.3,36.77,360,Slightly cloudy,No temperature probes available for measurements
20220619,6/19/22,8:30,20220618,Squarical1,High,Larval,30.3,-72.3,37.06,21,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical2,High,Larval,30.2,-73,36.99,16,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical3,High,Larval,30.2,-72.5,37.02,28,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical4,High,Larval,30.2,-72.6,36.99,23,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical5,High,Larval,30.2,-72.6,36.96,25,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical6,High,Larval,30.2,-72.6,36.98,13,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical7,Ambient,Larval,27.2,-73.3,37.02,35,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical8,Ambient,Larval,27.2,-73.5,36.95,37,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical9,Ambient,Larval,27.1,-73.5,36.97,33,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical10,Ambient,Larval,26.9,-73.3,36.95,21,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical11,Ambient,Larval,26.9,-72.2,36.98,25,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Squarical12,Ambient,Larval,27.1,-73.3,37.94,12,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Ambient_Header,Ambient,Larval,27.2,-73.4,36.96,NA,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Amb_Tank1,Ambient,Larval,26.3,-74,36.91,28,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,Amb_Tank2,Ambient,Larval,26.6,-73.8,36.94,30,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,High_Header,High,Larval,30.5,-73.2,36.98,NA,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,High_Tank1,High,Larval,30.6,-74,36.99,23,Slightly cloudy,NA
20220619,6/19/22,8:30,20220618,High_Tank2,High,Larval,30.3,-73.4,37.05,15,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical1,High,Larval,30.8,-73.5,37.19,150,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical2,High,Larval,30.2,-73.2,37.16,177.3,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical3,High,Larval,30.8,-73.5,37.14,136,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical4,High,Larval,30.9,-73.7,37.2,90,Slightly cloudy,Pacuta larvae in squarical 
20220620,6/20/22,14:20,20220618,Squarical5,High,Larval,31,-72.9,37.28,105,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical6,High,Larval,31,-73.7,37.15,70,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical7,Ambient,Larval,28.2,-74.3,37.14,180,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical8,Ambient,Larval,28.2,-75,37.12,126,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical9,Ambient,Larval,28.2,-74.7,37.2,95,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical10,Ambient,Larval,28,-74.8,37.13,177,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical11,Ambient,Larval,28.1,-74.5,37.1,128,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Squarical12,Ambient,Larval,27.9,-74,37.13,208,Slightly cloudy,Pacuta larvae in squarical 
20220620,6/20/22,14:20,20220618,Ambient_Header,Ambient,Larval,27.9,-73.8,37.19,NA,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Amb_Tank1,Ambient,Larval,29.2,-77.3,37.2,184,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,Amb_Tank2,Ambient,Larval,28.5,-77,37.21,94,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,High_Header,High,Larval,30.8,-73.1,37.03,NA,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,High_Tank1,High,Larval,31.1,-76.8,37.2,154,Slightly cloudy,NA
20220620,6/20/22,14:20,20220618,High_Tank2,High,Larval,31.6,-75.6,37.2,73,Slightly cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical1,High,Larval,30.5,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical2,High,Larval,30.6,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical3,High,Larval,30.8,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical4,High,Larval,30.7,NA,NA,NA,Cloudy,Pacuta larvae in squarical 
20220621,6/21/22,17:45,20220618,Squarical5,High,Larval,30.7,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical6,High,Larval,30.7,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical7,Ambient,Larval,27.5,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical8,Ambient,Larval,27.6,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical9,Ambient,Larval,27.6,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical10,Ambient,Larval,27.5,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical11,Ambient,Larval,27.8,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Squarical12,Ambient,Larval,27.5,NA,NA,NA,Cloudy,Pacuta larvae in squarical 
20220621,6/21/22,17:45,20220618,Ambient_Header,Ambient,Larval,27.8,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Amb_Tank1,Ambient,Larval,27.2,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,Amb_Tank2,Ambient,Larval,27.4,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,High_Header,High,Larval,30.9,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,High_Tank1,High,Larval,30.6,NA,NA,NA,Cloudy,NA
20220621,6/21/22,17:45,20220618,High_Tank2,High,Larval,30.6,NA,NA,NA,Cloudy,NA
20220622,6/22/22,18:45,20220618,Squarical1,High,Larval,30.1,-72.8,37.13,NA,"Cloudy, rainy",NA
20220622,6/22/22,18:45,20220618,Squarical2,High,Larval,30.3,-72.6,37.17,NA,"Cloudy, rainy",NA
20220622,6/22/22,18:45,20220618,Squarical3,High,Larval,30.2,-72.6,37.19,NA,"Cloudy, rainy",NA
20220622,6/22/22,18:45,20220618,Squarical4,High,Larval,30.2,-72.8,37.14,NA,"Cloudy, rainy",Pacuta larvae in squarical 
20220622,6/22/22,18:45,20220618,Squarical5,High,Larval,30.3,-72.9,37.13,NA,"Cloudy, rainy",NA
20220622,6/22/22,18:45,20220618,Squarical6,High,Larval,30.3,-72.8,37.05,NA,"Cloudy, rainy",NA
20220622,6/22/22,18:45,20220618,Squarical7,Ambient,Larval,27.1,-73.7,37.02,NA,"Cloudy, rainy",NA
